Please enter a neuron: AVM

File /Users/vanessaulloa/ClionProjects/connectome/connectome.csv successfully read.
File /Users/vanessaulloa/ClionProjects/connectome/postsynaptic.csv successfully read.


----------

Running Connectome with neuron: AVM
----------


----------

Running Connectome with neuron: AVM
----------


----------

Running Connectome with neuron: AVM
----------

Fire Neuron AVBL
Fire Neuron AVBR
Fire Neuron VB8
Fire Neuron AVAL
Fire Neuron AVAR
Fire Neuron DA4
Fire Neuron DA5
Fire Neuron DA6
Fire Neuron DD5
Fire Neuron PVCL
Fire Neuron PVCR
Fire Neuron RID
Fire Neuron VA11
Fire Neuron VA8
Fire Neuron VA9
Fire Neuron VB9
Fire Neuron VD4
Fire Neuron VD5
Fire Neuron VD6
Fire Neuron VD9
Fire Neuron AS7
Fire Neuron AS8
Fire Neuron AS9
Fire Neuron AVAL
Fire Neuron AVAR
Fire Neuron AVBL
Fire Neuron AVBR
Fire Neuron AVDL
Fire Neuron DA1
Fire Neuron DA2
Fire Neuron DA3
Fire Neuron DA4
Fire Neuron DA5
Fire Neuron DA6
Fire Neuron DA8
Fire Neuron DB3
Fire Neuron DB5
Fire Neuron DB6
Fire Neuron DD4
Fire Muscle MDL1123
Fire Muscle MDL1224
Fire Muscle MDL1317
Fire Muscle MDL1427
Fire Muscle MDR1119
Fire Muscle MDR1224
Fire Muscle MDR1317
Fire Muscle MDR1429
Fire Muscle MVL1424
Fire Muscle MVL2016
Fire Muscle MVR1424
Fire Muscle MVR2016
Fire Neuron PVCL
Fire Neuron PVCR
Fire Neuron SABVL
Fire Neuron VA10
Fire Neuron VA11
Fire Neuron VA2
Fire Neuron VA3
Fire Neuron VA4
Fire Neuron VA5
Fire Neuron VA6
Fire Neuron VA8
Fire Neuron VA9
Fire Neuron VB10
Fire Neuron VB6
Fire Neuron VB7
Fire Neuron VB8
Fire Neuron VB9
Fire Neuron VD1
Fire Neuron VD10
Fire Neuron VD2
Fire Neuron VD3
Fire Neuron VD4
Fire Neuron VD5
Fire Neuron VD6
Fire Neuron VD7
Fire Neuron VD9
Fire Neuron AS1
Fire Neuron AS10
Fire Neuron AS11
Fire Neuron AS3
Fire Neuron AS5
Fire Neuron AS6
Fire Neuron AS7
Fire Neuron AS8
Fire Neuron AS9
Fire Neuron AVAL
Fire Neuron AVAR
Fire Neuron AVBL
Fire Neuron AVBR
Fire Neuron AVDR
Fire Neuron AVEL
Fire Neuron AVER
Fire Neuron AVJL
Fire Neuron DA1
Fire Neuron DA2
Fire Neuron DA3
Fire Neuron DA4
Fire Neuron DA5
Fire Neuron DA6
Fire Neuron DA7
Fire Neuron DA9
Fire Neuron DB2
Fire Neuron DB3
Fire Neuron DB4
Fire Neuron DB6
Fire Neuron DB7
Fire Neuron DD1
Fire Neuron DD2
Fire Neuron DD3
Fire Neuron DD4
Fire Neuron DD5
Fire Neuron DD6
Fire Neuron DVA
Fire Neuron DVB
Fire Muscle MDL1416
Fire Muscle MDR0818
Fire Muscle MDR1416
Fire Muscle MVL1216
Fire Muscle MVL1526
Fire Muscle MVR1526
Fire Neuron PVCL
Fire Neuron PVCR
Fire Neuron PVR
Fire Neuron RID
Fire Neuron RIMR
Fire Neuron SABD
Fire Neuron SABVL
Fire Neuron SABVR
Fire Neuron SIBVL
Fire Neuron VA1
Fire Neuron VA11
Fire Neuron VA2
Fire Neuron VA3
Fire Neuron VA5
Fire Neuron VA6
Fire Neuron VA7
Fire Neuron VA8
Fire Neuron VA9
Fire Neuron VB11
Fire Neuron VB2
Fire Neuron VB4
Fire Neuron VB5
Fire Neuron VB8
Fire Neuron VB9
Fire Neuron VD1
Fire Neuron VD2
Fire Neuron VD3
Fire Neuron VD4
Fire Neuron VD5
Fire Neuron VD6
Fire Neuron VD7
Fire Neuron VD8
Fire Neuron VD9
Fire Neuron AS2
Fire Neuron AS4
Fire Neuron AS7
Fire Neuron AS8
Fire Neuron AS9
Fire Neuron AVAL
Fire Neuron AVAR
Fire Neuron AVBL
Fire Neuron AVBR
Fire Neuron AVDL
Fire Neuron AVEL
Fire Neuron DA1
Fire Neuron DA2
Fire Neuron DA3
